age,infected,ww,fish_weight_no_worm
91,1,215.1,0.5114
91,1,168,0.3289
91,1,144.6,0.4513
91,1,190.1,0.4411
91,1,206.7,0.345
91,1,187.2,0.3929
91,1,149.4,0.32
91,1,215.2,0.4922
91,1,164.5,0.3345
91,1,227.6,0.5608
91,1,178.5,0.4639
91,1,161.2,0.3353
91,1,216.8,0.4622
90,1,175.7,0.4732
90,1,166.6,0.3885
90,1,221.6,0.5941
91,1,126.4,0.612
90,1,241.5,0.3948
90,1,173.6,0.4901
90,1,222,0.4779
90,1,179.6,0.5157
90,1,191.4,0.5292
90,1,179.8,0.5819
90,1,135.1,0.4253
90,1,203.2,0.4931
90,1,154.5,0.3457
90,1,98.6,0.2106
90,1,150.9,0.5715
90,1,152.7,0.4991
90,1,167.3,0.4382
90,1,195.1,0.5592
89,1,151.9,0.4472
89,1,175,0.4509
89,1,186.2,0.6189
89,1,134.3,0.5463
89,1,159.4,0.55781
89,1,118.9,0.4211
89,1,208.2,0.4726
89,1,215.5,0.6157
89,1,153.9,0.6473
89,1,179.1,0.7159
89,1,177.7,0.4646
89,1,234.6,0.6513
89,1,212.3,0.5094
89,1,165.3,0.5137
89,1,142.9,0.2992
89,1,195.1,0.4385
89,1,235.3,0.5432
89,1,269.9,0.5412
89,1,193.5,0.7386
74,1,69.9,0.1681
74,1,152.7,0.3803
74,1,96.9,0.2641
74,1,136.5,0.3655
58,1,71.1,0.1209
74,1,114.6,0.2594
74,1,106.2,0.2088
70,1,119.3,0.1777
74,1,86.4,0.2016
74,1,80.4,0.1656
55,1,41,0.112
61,1,46,0.133
55,1,50.1,0.1229
74,1,152.9,0.4031
74,1,80.4,0.2096
58,1,55.6,0.1474
74,1,105.7,0.3363
51,1,70,
58,1,54.7,0.1203
74,1,96.2,0.3258
74,1,97.8,0.2592
62,1,101,0.211
74,1,127.9,0.3961
74,1,89.2,0.2358
74,1,111.3,0.2517
74,1,104.2,0.2648
74,1,209.4,0.4866
74,1,64.7,0.1293
74,1,132.1,0.2339
74,1,86.8,0.1732
74,1,113.8,0.3272
74,1,86.1,0.1849
74,1,131.8,0.2662
74,1,153.5,0.2915
57,1,78,0.184
61,1,57,0.138
74,1,87.8,0.1802
77,1,81.6,0.2334
66,1,34.7,0.1553
60,1,74,0.163
80,1,106.9,0.2631
56,1,63.8,0.2062
59,1,59.6,0.1624
56,1,68,0.166
80,1,185.4,0.3756
51,1,55,
80,1,90.7,0.2153
80,1,105,0.214
80,1,109.1,0.1909
80,1,183.2,0.4248
80,1,107.2,0.3008
76,1,124.5,0.3985
59,1,58.3,0.1277
76,1,99.4,0.2426
66,1,105,0.109
42,1,49.6,0.2854
74,1,119.9,0.2091
48,1,27,0.105
74,1,140.5,0.3315
53,1,65.7,0.1783
46,1,45,0.184
56,1,43.7,0.1023
43,1,47,0.163
52,1,60.7,0.1583
62,1,64.5,0.1575
60,1,49.8,0.1382
63,1,41.9,0.1191
53,1,78.6,0.2844
53,1,55.9,0.1601
74,1,55.1,0.1789
44,1,33.3,0.2007
77,1,48.9,0.1451
76,1,82.5,0.1645
50,1,38.4,0.1216
75,1,89.7,0.1943
52,1,51.3,0.1777
75,1,123,0.169
47,1,31.6,0.1234
47,1,42.3,0.1487
54,1,43.8,0.1392
63,1,106,0.176
49,1,40,0.167
52,1,46.3,0.1937
55,1,38,0.133
51,1,61.2,0.1718
45,1,30,
55,1,73,
74,1,121.3,0.1937
47,1,40,0.167
54,1,79.1,0.1809
50,1,42.7,0.1633
73,1,110.5,0.2745
53,1,23.7,0.1033
55,1,31,0.109
72,1,55.2,0.1748
44,1,41.8,0.2132
75,1,104.3,0.2567
50,1,50.8,0.1622
52,1,36.9,0.1261
75,1,87.3,0.1807
48,1,23,0.14
46,1,32,0.123
75,1,71.3,0.1827
51,1,28.7,0.1153
57,1,38,0.178
74,1,135.4,0.2216
74,1,77.1,0.1679
61,1,34.1,0.1259
51,1,28.4,0.1676
74,1,81.4,0.1636
50,1,21.4,0.1306
51,1,25.3,0.1267
74,1,125.7,0.2933
74,1,55.6,0.1464
74,1,40.9,0.1481
70,1,91.6,0.1904
74,1,58,0.121
74,1,62.4,0.1536
64,1,89.3,0.1767
51,1,67.6,0.1664
74,1,76.2,0.3068
74,1,93.1,0.2059
63,1,71.9,0.1501
76,1,80,0.13
76,1,80,0.196
75,1,78.8,0.2182
63,1,122.3,0.4687
65,1,64.5,0.1245
76,1,114.1,0.2769
76,1,135.7,0.3433
76,1,136.1,0.3819
69,1,71,0.2
51,1,56.5,0.1895
66,1,97.9,0.1971
46,1,30,
76,1,152.3,0.2347
47,1,9,
76,1,121.2,0.2998
76,1,136.2,0.2118
56,1,37,0.118
61,1,24,0.143
76,1,130.9,0.2871
44,1,22,0.154
76,1,81.6,0.1764
76,1,132.5,0.3095
82,1,187.9,0.5872
82,1,67.3,0.2711
82,1,160,0.4628
82,1,158.2,0.3186
82,1,119.7,0.5024
82,1,103,0.346
82,1,118.9,0.2562
80,1,94.2,0.2098
82,1,212.7,0.4834
82,1,182.6,0.5507
75,1,111.1,0.2639
82,1,175.8,0.3748
59,1,42.1,0.2399
82,1,188.1,0.6037
78,1,148.7,0.3593
82,1,127.2,0.4586
75,1,177.8,0.6072
82,1,201.2,0.5767
82,1,83.6,0.3063
82,1,209.9,0.4861
82,1,108.3,0.3141
82,1,182.2,0.5506
82,1,214.2,0.4988
82,1,146.2,0.4104
82,1,159.6,0.3986
82,1,171.4,0.617
82,1,158.2,0.341
82,1,199,0.3968
82,1,106.8,0.4254
82,1,132.2,0.3942
82,1,139.4,0.4808
82,1,142,0.4756
82,1,118.7,0.3448
82,1,126.9,0.3011
82,1,79.2,0.325
76,1,95.8,0.2652
82,1,161.7,0.3936
82,1,100.9,0.3292
78,1,96.3,0.2763
78,1,72.8,0.2781
63,1,56.6,0.2234
70,1,148,0.478
78,1,160.1,0.4393
56,1,68.6,0.2164
76,1,75.2,0.1988
78,1,112,0.2413
78,1,148.8,0.3648
61,1,104,0.239
78,1,97.9,0.3718
78,1,166.3,0.5079
78,1,86.9,0.2241
78,1,112.6,0.2866
59,1,95.6,0.2504
78,1,135.6,0.3251
78,1,170.3,0.4461
78,1,143.7,0.3857
78,1,146.2,0.4272
78,1,84.2,0.2601
78,1,118.5,0.3745
78,1,108.5,0.2808
78,1,256.9,0.8088
78,1,72.7,0.2149
78,1,152,0.5112
78,1,112,0.4296
78,1,100,0.3412
78,1,98.7,0.3141
78,1,63.1,0.2308
77,1,79.7,0.2174
77,2,212.7,
77,1,108.6,0.2357
77,1,92.5,0.2115
71,2,53.1,
77,1,187.9,0.5139
77,1,174.7,0.3919
71,1,150,0.256
62,1,40,0.262
61,1,52.1,0.3069
77,1,124,0.3306
77,2,109.7,
77,1,201.1,0.3986
77,1,128.4,0.314
77,1,142.7,0.3277
77,1,163.3,0.4942
68,1,60,0.252
77,1,118.9,0.3024
77,1,99.1,0.2937
77,1,101.2,0.3045
77,1,116.8,0.2427
77,1,76.9,0.2312
77,1,87.9,0.2491
77,1,108.7,0.2305
77,1,97.9,0.2504
71,1,51.3,0.2627
77,1,120.2,0.2547
77,1,156.3,0.4
77,1,180.4,0.6406
77,1,176.7,0.7156
77,1,159.6,0.6013
60,1,64,0.292
77,1,79.8,0.2747
77,1,101.7,0.2913
26,1,8.7,0.3343
26,1,6.7,0.6043
26,1,7.1,0.3249
26,1,4.5,0.4045
26,1,7.5,0.4775
26,1,8.3,0.5017
26,1,10.6,0.6244
26,1,11.7,0.9123
26,1,8.2,0.5318
26,1,7.4,0.3876
25,1,4.1,0.5629
25,1,4.8,0.4052
26,1,7.6,0.4624
26,1,7.1,0.3919
26,1,5.1,0.4849
26,1,9.2,0.4178
26,1,2,0.544
26,1,1.5,0.3575
27,1,3,0.423
27,1,8.5,0.4315
27,1,12.1,0.5269
27,1,9.8,0.8112
27,1,10.3,0.3857
27,1,11.3,0.3357
27,1,3.7,0.4543
27,1,9.2,0.4578
27,1,5.6,0.5944
27,1,7.8,0.3692
27,1,8.1,0.3829
26,1,3.9,0.6211
26,1,4.6,0.3294
27,1,2.6,0.5474
27,1,5.3,0.5347
27,1,7.8,0.6932
27,1,2.5,0.4785
27,1,11,0.734
27,1,6.8,0.5412
27,1,7.2,0.8038
27,1,4.7,0.7463
27,1,11.6,0.6574
27,1,2.2,0.7608
27,1,2.7,0.3043
27,1,12.6,0.7904
27,1,7.9,0.5931
27,1,7,0.493
27,1,8.8,0.6222
27,1,5.7,0.8183
27,1,9,0.618
27,1,9.3,0.6727
27,1,6.2,0.5648
27,1,8.8,0.6962
27,1,7.1,0.7599
27,1,5.3,0.8287
27,1,6.4,0.7106
27,1,6.3,0.5977
27,1,2.3,0.5577
27,1,5,0.539
26,1,4.5,0.7845
26,1,4.2,0.6208
26,1,4.1,0.6489
28,1,10.5,0.5575
28,1,11.2,0.7408
28,1,14.6,0.8404
28,1,11.1,0.5269
28,1,12.9,0.8521
28,1,8.7,1.0123
28,1,3.8,0.8912
28,1,6.9,0.6831
28,1,7.8,0.4232
28,1,4.7,0.7373
28,1,11.5,1.0365
28,1,9.6,0.6614
28,1,13.2,0.8328
28,1,6.5,0.4475
28,1,2.6,0.8444
28,1,3.8,0.5512
28,1,0.6,0.5634
28,1,10.7,0.6223
28,1,9,0.552
28,1,7.4,0.3506
28,1,3.9,0.9131
28,1,12.1,0.8049
28,1,8.6,0.3204
28,1,6.5,0.5165
28,1,6.2,0.4538
28,1,12.3,0.8007
28,1,10.6,0.4864
28,1,11.3,0.6127
27,1,2.9,0.3691
27,1,8.7,0.5553
27,1,11.1,0.9209
27,1,7.9,0.8111
0,,0.001904527,
0,,0.001517633,
0,,0.001757453,
0,,0.001260567,
0,,0.001872511,
0,,0.001254795,
0,,0.001487731,
0,,0.001240778,
0,,0.001085164,
0,,0.001168911,
0,,0.001353256,
0,,0.001284065,
0,,0.001307979,
0,,0.001378808,
0,,0.000926356,
0,,0.00088947,
0,,0.001053584,
0,,0.000735532,
0,,0.002127726,
0,,0.001690526,
0,,0.001773199,
0,,0.001465761,
0,,0.001343312,
0,,0.001363999,
0,,0.001073796,
0,,0.001091657,
0,,0.001430556,
0,,0.001385945,
0,,0.001349406,
0,,0.001498214,
0,,0.000939722,
0,,0.00097187,
0,,0.00160312,
0,,0.001115429,
0,,0.000992532,
0,,0.001520445,
0,,0.001117855,
0,,0.001209046,
0,,0.001673056,
0,,0.001079823,
0,,0.000944437,
0,,0.001036416,
0,,0.00087187,
0,,0.001523168,
0,,0.001016075,
0,,0.001187637,
0,,0.001231527,
0,,0.000763372,
0,,0.000852374,
0,,0.001040368,
0,,0.001132687,
0,,0.001022013,
0,,0.001841768,
0,,0.002352383,
0,,0.002006672,
0,,0.001467486,
0,,0.001277157,
0,,0.001231906,
0,,0.001518972,
0,,0.001052815,
0,,0.001955279,
0,,0.001322022,
0,,0.001724688,
0,,0.000872717,
0,,0.000783094,
0,,0.001417703,
0,,0.001086634,
0,,0.001288463,
0,,0.001132274,
0,,0.001267366,
0,,0.001675529,
0,,0.001226339,
0,,0.001286584,
0,,0.000806604,
0,,0.001299153,
0,,0.001331708,
0,,0.001267792,
0,,0.001193785,
0,,0.001500794,
0,,0.001472927,
0,,0.001038714,
0,,0.002047441,
0,,0.001812189,
0,,0.002306524,
0,,0.001110664,
0,,0.001623027,
0,,0.001558917,
0,,0.000929644,
0,,0.000894737,
0,,0.000954123,
0,,0.000818655,
0,,0.000961504,
0,,0.000608495,
0,,0.00099054,
0,,0.001119871,
0,,0.000925183,
0,,0.001436752,
0,,0.001368077,
0,,0.001568676,
0,,0.001367947,
0,,0.001200864,
0,,0.002002972,
0,,0.001062785,
0,,0.000947545,
0,,0.001619031,
0,,0.001743456,
0,,0.001787817,
0,,0.001596785,
0,,0.001853098,
0,,0.001520132,
0,,0.001469432,
0,,0.001868502,
0,,0.001522767,
0,,0.001643819,
0,,0.001519999,
0,,0.001174158,
0,,0.001028202,
0,,0.001216275,
0,,0.001025669,
0,,0.001183668,
0,,0.000896598,
0,,0.001274814,
0,,0.001097833,
0,,0.001251828,
0,,0.001278052,
0,,0.001773524,
0,,0.001859124,
0,,0.001535597,
0,,0.001369944,
0,,0.001690848,
0,,0.001536045,
0,,0.001358278,
0,,0.001983733,
0,,0.001560041,
0,,0.001883089,
0,,0.001494525,
0,,0.001913681,
0,,0.002064178,
0,,0.001514199,
0,,0.00120766,
0,,0.000884829,
0,,0.00080133,
0,,0.000998953,
0,,0.001672003,
0,,0.000782158,
0,,0.001267877,
0,,0.00157755,
0,,0.001149103,
0,,0.001183501,
0,,0.000927295,
0,,0.001443924,
0,,0.001695028,
0,,0.001890701,
0,,0.00208231,
0,,0.001789029,
0,,0.001484314,
0,,0.001718505,
0,,0.001346942,
0,,0.001512282,
0,,0.001539537,
0,,0.00164505,
0,,0.001613133,
0,,0.001577054,
0,,0.001065585,
0,,0.00112683,
0,,0.001210684,
0,,0.001836555,
0,,0.002180131,
0,,0.001217495,
0,,0.000927335,
0,,0.000669866,
0,,0.000879462,
0,,0.001158601,
0,,0.001006264,
0,,0.001984212,
0,,0.001600223,
0,,0.002047296,
0,,0.001525223,
0,,0.001589237,
0,,0.001897327,
0,,0.001619893,
0,,0.001921706,
0,,0.00182933,
0,,0.001505155,
0,,0.001268727,
0,,0.001747671,
0,,0.000633074,
0,,0.000929722,
0,,0.001290086,
0,,0.001167204,
0,,0.001390215,
0,,0.00106912,
0,,0.00123178,
0,,0.001876854,
0,,0.00127899,
0,,0.001228531,
0,,0.002030162,
0,,0.001243781,
0,,0.002484616,
0,,0.001479881,
0,,0.001566471,
0,,0.001901637,
0,,0.00132314,
0,,0.001571243,
0,,0.001329984,
0,,0.00171749,
0,,0.002201286,
0,,0.002117189,
0,,0.001599318,
0,,0.001454677,
0,,0.000982743,
0,,0.001344133,
0,,0.000957042,
0,,0.000822405,
0,,0.001025066,
0,,0.00090044,
